,OverSpeeding,Driving on Wrong Side,Overtaking,Use of Mobile/Driver Fatigue etc,Other Causes/Unkown
Andhra Pradesh,69,3,4,13,10
Arunachal Pradesh,18,3,3,10,65
Assam,47,4,5,13,30
Bihar,28,6,7,10,49
Chhattisgarh,49,3,3,8,36
Goa,90,0,2,6,2
Gujarat,61,3,5,6,26
Haryana,21,8,10,19,42
Himachal Pradesh,16,1,6,44,33
Jammu & Kashmir,44,0,0,12,44
Jharkhand,13,3,3,2,78
Karnataka,71,2,2,11,13
Kerala,86,3,6,0,5
Madhya Pradesh,52,2,8,10,28
Maharashtra,59,5,5,12,20
Manipur,11,7,9,24,50
Meghalaya,24,0,0,0,76
Mizoram,17,2,7,22,52
Nagaland,15,0,0,0,85
Odisha,47,5,11,18,18
Punjab,36,7,8,8,40
Rajasthan,58,4,6,23,9
Sikkim,21,10,8,0,61
Tamil Nadu,66,4,10,9,11
Telangana,60,1,2,7,31
Tripura,74,3,10,5,8
Uttarakhand,46,7,8,5,34
Uttar Pradesh,29,7,11,19,34
West Bengal,11,1,1,51,36
Chandigarh,89,4,0,2,6
Delhi,23,2,3,39,34
Puducherry,73,5,4,12,5
India,56,4,6,12,22